采购项目名称	预算金额	行政区域	网址
大连海事大学岸基混合现实（MR)呈现系统用船舶三维模型采购公开招标公告	￥42.000000万元（人民币）	辽宁省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181101_11011394.htm
南平市水路运输管理处《南平市防治船舶及其有关作业活动污染水域环境应急能力建设规划》服务类采购项目招标公告	￥36.000000万元（人民币）	南平市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181008_10835474.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181112_11092939.htm
广东省公安边防总队海警二支队2018年度海警44016、44022艇年度临检项目公开招标公告	￥59.450000万元（人民币）	汕头市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181127_11201312.htm
集美大学通信导航设备与测试环境集成招标公告	￥100.000000万元（人民币）	厦门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181228_11436461.htm
福州市海洋与渔业执法支队“中国渔政35101”轮修理项目招标公告	￥126.448900万元（人民币）	福州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181019_10928519.htm
福建省湄洲湾港口管理局信息系统维护服务采购项目招标公告	￥16.000000万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181211_11319745.htm
三门峡市地方海事局例行养护航道40公里包括：航标、工作船等航道设施养护项目竞争性磋商公告	￥55.000000万元（人民币）	湖滨区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181031_11008375.htm
厦门市海洋综合行政执法支队综合执法与管理及大型船舶运行维护等服务类采购项目招标公告	￥139.780000万元（人民币）	厦门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181119_11139378.htm
上海上投招标有限公司关于新建公安趸船项目公开招标公告	￥181.500000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181007_10833781.htm
龚滩景区配套基础设施建设项目万木旅游码头工程（趸船采购）(18A0823)采购公告	￥462.000000万元（人民币）	酉阳土家族苗族自治县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181126_11197427.htm
中华人民共和国汕头海事局海巡船舶定点加油服务公开招标公告	￥49.000000万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181112_11087458.htm
中华人民共和国佛山海事局船舶运行服务外包项目公开招标公告	￥530.000000万元（人民币）	佛山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181227_11433938.htm
自然资源部中国地质调查所青岛海洋地质研究所青岛海洋地质研究所“业治铮”号坞修、调查设备加装和改造工程项目公开招标公告	￥62.000000万元（人民币）	山东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181019_10927975.htm
