采购项目名称	预算金额	行政区域	网址
晋江市渔业船舶安全生产风险分级管控社会化服务采购项目招标公告	￥40万元（人民币）	晋江市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180903_10611815.htm
北京市船舶检验所运输行业信息化系统等级保护测评服务公开招标公告	￥63万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180615_10107783.htm
海南亚龙湾海底世界旅游有限公司60客位交通运输船采购项目公开招标公告	￥300万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180625_10155694.htm
庆阳市西峰区市政公用事业管理局自动水面 保洁船项目公开招标公告	￥45万元（人民币）	庆阳市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180720_10315817.htm
交通运输部东海航海保障中心40米级测量船建造监理服务项目公开招标公告	￥36万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201805/t20180529_10004007.htm
黄埔海关2018-2020年度缉私艇日常维修厂家资格招标项目公开招标公告	￥750万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180706_10231363.htm
2018年湛江航标处船员用工服务外包项目	￥353.7964万元（人民币）	湛江市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180606_10053780.htm
连云港市公安边防支队公边32116艇上排维修保养工程项目公开招标公告	￥45万元（人民币）	海州区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180516_9939403.htm
2018年度舰船航修工程承修厂资格标招标项目公开招标公告	￥680万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180508_9895134.htm
海南亚龙湾海底世界旅游有限公司 -60客位交通运输船采购项目-公开招标公告	￥300万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180625_10154093.htm
北京市船舶检验所运输局机房、视频会议及终端运维管理技术服务公开招标公告	￥106.88万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180615_10107780.htm
广东海洋大学船舶操纵模拟器采购项目（第三次招标）国内公开招标公告	￥310万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201807/t20180719_10310077.htm
中华人民共和国福州海事局玻璃钢质海巡船修理工程公开招标公告	￥51.5万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180606_10053807.htm
中山市中顺大围工程管理处采购水上公务船项目公开招标公告	￥48.42万元（人民币）	中山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201808/t20180801_10388604.htm
武警连云港市边防支队船艇大队公边32108艇上排维修保养工程项目公开招标公告	￥30.5万元（人民币）	海州区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180516_9939441.htm
中华人民共和国福州海事局钢质海巡船修理工程公开招标公告	￥91.5万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180606_10053488.htm
省海洋与渔业监督监察总队(中国海监山东总队渔业船舶检验局)山东省渔港经济区综合监管信息系统项目公开招标公告	详见公告正文	山东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180624_10152394.htm
北京市船舶检验所运输局信息安全服务公开招标公告	￥80.94万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180615_10107658.htm
厦门务实-公开招标-2018-SH283诚毅学院船舶操纵模拟器视景系统升级改造公开招标公告	￥98.6万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180508_9894234.htm
广西科联招标中心巡标工作船采购项目GXZC2018-G1-15378–KLZB公开招标公告	￥170万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180502_9861812.htm
中国船舶重工集团公司第七二六研究所消防科研楼消防分包工程公开招标公告	￥195万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180606_10051736.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180516_9936488.htm
中国海监第一支队中国海警1117船坞修招标项目公开招标公告	￥44.2万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180508_9892979.htm
北京市船舶检验所重点营运车辆动态监管及综合分析系统运维公开招标公告	￥99.85万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180615_10107648.htm
宁波市海洋与渔业执法支队象山港表面垃圾清理项目的采购公告	￥40万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180622_10148414.htm
沧州市边防支队定点采购及服务项目（二次）招标公告	￥0万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180502_9860806.htm
广东省中山航道事务中心本部广东省中山航道事务中心横门出海航道疏浚服务项目公开招标公告	￥1794.33万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180516_9935032.htm
河北省渔船检验渔港监督管理处港监艇维修保养项目公开招标公告	￥70万元（人民币）	河北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180606_10049442.htm
交通运输部东海航海保障中心20米级测量船建造监理服务项目公开招标公告	￥16万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201805/t20180529_10003988.htm
广州市公安局船舶保险服务（重招）公开招标公告	￥65万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180508_9892049.htm
交通运输部水运科学研究所船舶尾气治理技术实验设备购置—颗粒物测量系统、氮氧化物分析系统和总氮氢分析系统公开招标公告	￥146万元（人民币）	北京市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201806/t20180622_10148078.htm
中华人民共和国江苏海事局海事系统船舶监管相关应用系统建设与改造工程移动执法终端采购公开招标公告	￥90万元（人民币）	江苏省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201806/t20180615_10106816.htm
广东省海警总队涉案船舶及人员信息采集平台项目（采购项目编号：GZCQC1801FG04043）招标公告	￥79.67万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180428_9858258.htm
第二包：教学考试设备皖C-2018-ZF-CG-Z-140-2、第一包：船舶实训设备皖C-2018-ZF-CG-Z-140-1招标公告	￥.019752万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180516_9933836.htm
河北省渔船检验渔港监督管理处港监艇维修保养项目公开招标公告	￥70万元（人民币）	河北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180605_10047197.htm
交通运输部长江口航道管理局船舶物料采购（No.1801）二次公开招标公告	￥240万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201805/t20180529_10003827.htm
长江航道局2018年拟完工建设项目委托审计公开招标公告	￥580万元（人民币）	武汉市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180423_9825949.htm
象山县海洋与渔业局采购渔船手持双向无线对讲机项目（重发）的采购公告	￥180万元（人民币）	象山县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180614_10105262.htm
国家海洋局东海分局船舶保险项目公开招标公告	￥700万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201805/t20180508_9891019.htm
上海国际招标有限公司上海市环境保护局柴油车等流动源添加餐厨废弃油脂制生物柴油环保效果评估（第一期）采购招标项目公开招标公告	￥250万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180428_9857063.htm
国家海洋局第二海洋研究所专项调查航次科考用船项目（2018年7月航次）公开招标公告	￥750万元（人民币）	杭州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201806/t20180604_10039455.htm
厦门万翔-公开招标-[350200]wx[GK]2018032（XM2018-TCT0218）集美大学E航海船舶助导航系统研发平台设备货物类采购公开招标公告	￥141.9万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180622_10146884.htm
宁波大学海运学院全任务大型船舶操纵模拟器项目的采购公告	￥625万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180423_9823751.htm
广州海洋地质调查局2018年船舶出航及调查设备和出航人员保险公开招标公告	￥1600万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201806/t20180614_10099065.htm
河北省沧州市海洋渔船标准船型设计项目招标公告	￥200万元（人民币）	沧州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180529_10003100.htm
中国人民解放军32121部队船舶维修工程公开招标公告（重发公告）	￥23.1984万元（人民币）	中山区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180515_9930969.htm
厦门中实-公开招标-2018-ZS619-2018年玻璃钢船艇坞修公开招标公告	￥80万元（人民币）	厦门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180428_9856450.htm
青岛海洋地质研究所船舶综合信息化系统项目公开招标公告	￥100万元（人民币）	山东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180604_10039084.htm
集美大学E航海船舶助导航系统研发平台设备货物类采购项目招标公告	￥141.9万元（人民币）	厦门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180622_10356075.htm
唐山市国土资源局中国海监唐山维权执法基地导助航设施（航标布配）招标公告	￥171万元（人民币）	唐山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180613_10095483.htm
中国人民解放军32121部队船舶坞排保养除锈刷漆工程公开招标公告（重发公告）	￥11.542万元（人民币）	中山区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180515_9931361.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180529_10002893.htm
厦门中实-公开招标-2018-ZS617-2018年钢质海巡船艇坞修公开招标公告	￥160万元（人民币）	厦门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180428_9856278.htm
阜阳市水务局23m水政执法艇采购项目招标公告	￥180万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180622_10144314.htm
中华人民共和国三亚海关-209监管艇柴油机、发电机保养项目；209监管艇上排保养；765监管艇柴油机、发电机保养项目；765监管艇上排保养服务等-公开招标公告	￥37.39513万元（人民币）	三亚市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180507_9889696.htm
中国人民武装警察部队沧州市边防支队沧州市边防支队定点采购及服务项目公开招标公告	￥0万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180423_9824097.htm
广西壮族自治区梧州航道管理局船舶维修及保养（GXZC2018-G3-15379-KLZB(重)）招标公告	￥35万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180604_10038980.htm
清远市水政监察支队购置水政执法船采购项目公开招标公告	￥350万元（人民币）	清远市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180423_9823151.htm
海南海峡航运股份有限公司-2018年度船舶厂修项目（B包）-公开招标公告	￥180万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180528_10000413.htm
宁波物资采购站靶标器材的采购公告	￥.0001万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180507_9888960.htm
海南省公安边防总队海警第二支队-海南省公安边防总队海警第二支队船舶拖带项目（第二次）-公开招标公告	￥93万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180428_9855301.htm
莆田市秀屿区石南轮渡有限公司关于新建客渡船(两艘）采购项目公开招标公告	￥3841万元（人民币）	莆田市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180612_10090261.htm
广西科联招标中心船舶维修及保养（GXZC2018-G3-15379-KLZB(重)）公开招标公告	￥35万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180604_10038346.htm
广州市番禺区地方公路管理总站新造渡口渡船维修、审验服务资格项目（2018-2021年度）（重招）公开招标公告	￥150万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180515_9930796.htm
中华人民共和国滨州海事局防治船舶及其有关作业活动污染水域环境应急能力建设规划采购公开招标公告	￥65万元（人民币）	滨州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180528_9998443.htm
海南海峡航运股份有限公司-2018年“凤凰岭”轮等3艘船厂修项目-公开招标公告	￥600万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180621_10140471.htm
厦门华沧-公开招标-2018-HCGK-SH148B-闽厦门趸0021维修保养（坞修）（二次招标）项目的招标公告	￥45.7151万元（人民币）	厦门市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180423_9822929.htm
中国人民武装警察部队营口市边防支队船坞维修项目（营口地区）公开招标公告	￥58.57万元（人民币）	站前区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180507_9887528.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180428_9854140.htm
河北交通职业技术学院航海跨专业虚拟仿真综合实训中心招标公告	￥100万元（人民币）	河北省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180515_9926306.htm
黄骅港引航站建造引航艇项目（二次）招标公告	￥1145.641442万元（人民币）	黄骅市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180604_10037212.htm
闽江下游水域及驳岸保洁（2017-2019年度）招标公告	￥1275万元（人民币）	福州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180612_10088405.htm
重庆市车渡管理站船舶采购(18A1032)采购公告	￥475万元（人民币）	重庆市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180423_9822523.htm
唐山市国土资源局1000吨级海监船维修保养竞争性谈判公告	￥75万元（人民币）	唐山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180621_10139057.htm
中国人民武装警察部队营口市边防支队船坞维修项目（大连地区）公开招标公告	￥18万元（人民币）	站前区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180507_9887460.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180428_9854100.htm
中华人民共和国海南海事局 -海南海事局水上动态监管协同管理系统项目-公开招标公告	￥110万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180612_10088254.htm
象山县石浦镇人民政府石浦港船舶污染物接受服务外包采购的采购公告	￥258万元（人民币）	象山县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180621_10138432.htm
安徽省阜阳水文水资源局淮河干流航道(三河尖至蚌埠段)整治工程对水文监测影响2017年度(鲁台子水文站测沙船）采购项目公开招标公告	￥48万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180423_9822044.htm
交通运输部长江口航道管理局船舶备件采购（No.1806）公开招标公告	￥600万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201806/t20180604_10035232.htm
中国海监第八支队船舶油料供应资格供应商招标公开招标公告	￥150万元（人民币）	黄埔区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180514_9924126.htm
湛江市雷州青年运河管理局2017年度全自动水浮莲打捞船采购项目公开招标公告	￥160万元（人民币）	湛江市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180428_9853315.htm
广东省珠海航道事务中心香洲航标与测绘所磨刀门水道及出海航道疏浚公开招标公告	￥2168.5万元（人民币）	珠海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180528_9994993.htm
崖门出海航道维护疏浚(委外项目)（采购编号：GZSW18171FG2006）招标公告	￥2200万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180612_10088236.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180621_10754749.htm
潮州市潮安区水务局巡河艇采购项目公开招标公告	￥151.463万元（人民币）	潮州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180507_9886929.htm
秦皇岛市国土资源局北戴河区分局雇佣船只（含人员）协助治理海上非法养殖服务项目竞争性磋商公告	￥61.992万元（人民币）	北戴河区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180604_10034113.htm
交通运输部长江口航道管理局船舶备件采购（No.1803）公开招标公告	￥200万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180423_9821495.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180612_10084424.htm
新东海港等3条航道疏浚实施项目的公开招标公告	￥2503.05万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180621_10134066.htm
广东新船重工有限公司2018年度管子外协加工（含表面处理）项目(重招）公开招标公告	￥0万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180428_9853539.htm
厦门务实-公开招标-2018-SH283A诚毅学院船舶操纵模拟器视景系统升级改造公开招标公告	￥98.6万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180528_9994572.htm
中华人民共和国江苏海事局海事系统船舶监管相关应用系统建设与改造工程移动执法终端采购公开招标公告	￥90万元（人民币）	江苏省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201805/t20180514_9922297.htm
广东省渔政总队珠海支队中国海监9028艇上排维修采购项目公开招标公告	￥51.2万元（人民币）	珠海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180603_10033086.htm
广州海事局海巡船舶运行服务外包项目公开招标公告	￥205万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201805/t20180507_9887208.htm
交通运输部长江口航道管理局船舶备件采购（No.1802）公开招标公告	￥270万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180423_9821451.htm
中华人民共和国中山海关中山海关涉案财物仓储服务项目公开招标公告	￥150万元（人民币）	中山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180611_10078078.htm
重庆市合川区环境卫生管理处水域污水收集船(18A0190)采购公告	￥240万元（人民币）	合川区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180514_9920662.htm
珠海市交通运输局综合行政执法局珠海市交通运输局综合行政执法局执法船舶及岸基设施委托管理服务采购项目重新招标公告	￥66万元（人民币）	珠海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180525_9988510.htm
练祁河等4条航道疏浚实施项目的公开招标公告	￥6027.25万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180621_10134183.htm
石柱县环境卫生管理所水库清漂（二期）项目设备采购(18B0005)采购公告	￥580万元（人民币）	石柱土家族自治县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180511_9911402.htm
蚌埠市水利局水政监督艇采购项目皖C-2018-ZF-CG-Z-097-104-1、蚌埠市淮上区水利局水政监督艇采购皖C-2018-ZF-CG-Z-097-104-2招标公告	￥.0265万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180427_9849799.htm
象山县汽车轮渡有限公司轮渡船舶维修保养服务项目的采购公告	￥200万元（人民币）	象山县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180601_10030153.htm
黄山市地方海事（港航管理）局水上交通安全监管设施改造15米海巡艇采购项目招标公告	￥134万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180611_10076097.htm
交通运输部长江口航道管理局船舶备件采购（No.1801）公开招标公告	￥300万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180423_9821347.htm
福建省湄洲湾港口管理局综合行政执法支队船舶维修服务招标公告	￥25.27万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180525_9988305.htm
广西科文招标有限公司中国渔政45013船修理工程（KWEZ5G2018021-2）公开招标公告	￥244.606683万元（人民币）	广西壮族自治区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180507_9887007.htm
中华人民共和国曹妃甸边防检查站边检执勤艇设计服务采购公开招标公告	￥35万元（人民币）	石家庄市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180620_10131210.htm
长江上海航道处2018年如皋基地航标器材维保服务项目公开招标公告	￥65万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180511_9911094.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180427_9848927.htm
贵州省六盘水市地方海事局航标工作船、支持保障系统、搜救应急设备采购采购公告	￥163万元（人民币）	六盘水市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180611_10074863.htm
唐山市国土资源局1000吨级海监船维修保养竞争性谈判公告	￥75万元（人民币）	唐山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180507_9885419.htm
沧州渤海新区港兴拖轮有限公司船舶配备船员项目二标段公开招标公告	￥1230万元（人民币）	黄骅市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180601_10026989.htm
温州市智信招标代理有限公司关于涉案船舶定点拆解场所项目的公开招标公告	￥500万元（人民币）	温州市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180423_9820957.htm
海南热带海洋学院-海南热带海洋学院船舶机舱模拟器实验室项目-公开招标公告	￥240万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180620_10130141.htm
福建省湄洲湾港口管理局综合行政执法支队船舶维修服务公开招标公告	￥25.27万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180525_9987770.htm
珠海市高速公路和地方公路管理处珠海市高速公路和地方公路管理处珠海大桥防船撞主动预警系统建设采购项目公开招标公告	￥261.95392万元（人民币）	珠海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180511_9910930.htm
国家海洋局北海分局2018年海洋专用设备第一次招标项目公开招标公告	￥4400.3万元（人民币）	青岛市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180426_9845116.htm
长江南京航道局2018年集中采购项目2018CJNJ-CG-JZCG03标段公开招标公告	￥95万元（人民币）	江苏省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180504_9879904.htm
淅川县香花渔港码头设备采购项目招标公告	￥82.3万元（人民币）	淅川县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180620_10129667.htm
湛江市公路管理局湛江渡口所湛机1502船修理工程公开招标公告	￥116.87594万元（人民币）	湛江市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180608_10068348.htm
广州海洋地质调查局海岸带调查船租用项目公开招标公告	￥300万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180419_9810938.htm
沧州渤海新区港兴拖轮有限公司船舶配备船员项目三标段公开招标公告	￥1230万元（人民币）	黄骅市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180601_10027015.htm
黄河水利委员会山东水文水资源局黄委大江大河水文监测系统建设工程（一期）水文测验船舶设计公开招标公告	￥165万元（人民币）	济南市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201805/t20180511_9910960.htm
海南海峡航运股份有限公司-2018年度船舶厂修项目-公开招标公告	￥355万元（人民币）	海南省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180426_9844715.htm
象山县海洋与渔业局采购渔船手持双向无线对讲机项目的采购公告	￥180万元（人民币）	象山县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180525_9987163.htm
上海市浦东新区航务管理署船舶驾驶购买服务的公开招标公告	￥1003.02万元（人民币）	浦东新区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180504_9879814.htm
沧州渤海新区港兴拖轮有限公司船舶配备船员项目一标段公开招标公告	￥1230万元（人民币）	黄骅市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180601_10027026.htm
淅川县增殖放流站设备采购项目招标公告	￥60万元（人民币）	淅川县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180620_10129424.htm
唐山市国土资源局1000吨级海监船维修保养竞争性谈判公告	￥75万元（人民币）	唐山市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180608_10067353.htm
2018年度宁波市企业生产一线职工（含企业初级专业技术人员）培训项目的采购公告	￥700万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180419_9809977.htm
中国海监第七支队中国海警3171船2018年坞检项目公开招标公告	￥210万元（人民币）	广东省	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201805/t20180525_9987024.htm
上海市政府采购中心第2018-10461号信息--上海市航务管理处搜救艇、巡逻艇及趸船	￥1110万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180504_9879806.htm
乳山市海洋与渔业监督监察大队中国渔政37502船维修采购项目招标公告	详见公告正文	威海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180426_9843790.htm
宁波市海洋与渔业信息监测中心渔船电子身份识别标签升级（固定式船舶定位仪安装）项目的采购公告	￥200万元（人民币）	宁波市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180419_9809866.htm
2016年藏区专项“菜篮子”工程共和县龙羊峡水产养殖基地码头项目公开招标公告	￥255万元（人民币）	共和县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180619_10120919.htm
秦皇岛海事局船舶动态监管功能增强项目公开招标公告	￥166万元（人民币）	秦皇岛市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180608_10067315.htm
黔中水利枢纽一期工程平寨水库水质巡察船采购公告	￥110万元（人民币）	贵州省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180601_10025405.htm
微山县渔业综合管理委员会县渔管委渔政执法船采购项目公开招标公告	详见公告正文	济宁市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201805/t20180525_9985194.htm
异常版面，需手动标注	异常版面，需手动标注	异常版面，需手动标注	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180607_10063772.htm
晴隆县地方海事处航标工作船、测量设备、保障系统装备及搜救应急设备采购项目采购公告	￥139万元（人民币）	晴隆县	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180426_9842151.htm
广州海洋地质调查局4500米水下工程作业系统研制公开招标公告	￥700万元（人民币）	广州市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201804/t20180418_9806038.htm
中华人民共和国浦东海事局“海巡0102轮”船舶维修服务采购项目公开招标公告	￥195万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201806/t20180601_10025166.htm
